name,price,rating,category,features
Hitachi RAS.G318PCAIBFE 1.5 Ton 3 Star 2023 Inverter Split AC,"₹37,500",--rating: 4.35;,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', 'Auto Clean']"
Samsung AR18CY3YAWK 1.5 Ton 3 Star 2023 Inverter Split AC,"₹61,990",--rating: 4.15;,AC,"['Split AC', '1.5 Ton Capacity', 'LED  Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Blue Star IC518RNU 1.5 Ton 5 Star 2023 Inverter Split AC,"₹59,890",--rating: 4.05;,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Blue Star FB312DNU 1 Ton 3 Star 2023 Split AC,"₹38,000",--rating: 4.45;,AC,"['Split AC', '1 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature', 'Night Glow Buttons']"
Blue Star IA412FNU 1 Ton 4 Star 2023 Inverter Split AC,"₹31,688",--rating: 4.45;,AC,"['Split AC', '1 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature']"
Haier HSU24E-TXS3BE-INV 2 Ton 3 Star 2023 Inverter Split AC,"₹45,990",--rating: 4.3;,AC,"['Split AC', '2 Ton Capacity', 'Hidden LED Panel Display', 'Air Swing', 'Auto Restart', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', '3 Star Rating']"
Lloyd GLW12C2YWSEW 1 Ton 2 Star 2022 Window AC,"₹42,196",--rating: 4.05;,AC,"['Window AC', '1 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Lloyd GLW12C2YWSEW 1 Ton 2 Star 2023 Window AC,"₹27,999",--rating: 4.1;,AC,"['Window AC', '1 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Voltas 183 Vectra Elegant 1.5 Ton 3 Star 2023 Split AC,"₹36,990",--rating: 4.35;,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden LED Panel Display', 'Air Swing', 'Auto Restart', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons']"
Samsung AR18CYMZAWK 1.5 Ton 4 Star 2023 Inverter Split AC,"₹39,590",--rating: 4.05;,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Samsung AR18CY5ZAWK 1.5 Ton 5 Star 2023 Inverter Split AC,"₹49,190",--rating: 4.5;,AC,"['Split AC', '1.5 Ton Capacity', 'LED  Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Samsung AR18CY5AMWK 1.5 Ton 5 Star 2022 Inverter Split AC,"₹56,190",--rating: 4.45;,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Voltas 185V Vectra Elegant 1.5 Ton 5 Star 2023 Inverter Split AC,"₹45,499",--rating: 4.4;,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons']"
Panasonic CS/CU-NU12YKY5W 1 Ton 5 Star 2023 Inverter Split AC,"₹57,658",--rating: 4.7;,AC,"['Split AC', '1 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Haier HSU19U-PYFC5BE 1.6 Ton 5 Star 2023 Inverter Split AC,"₹42,850",--rating: 4.3;,AC,"['Split AC', '1.6 Ton Capacity', 'Hidden Display Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Panasonic CS/CU-KZ18ZKYF 1.5 Ton 3 Star 2023 Inverter Split AC,"₹48,990",--rating: 4;,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Panasonic CS/CU-NU18YKY5W 1.5 Ton 5 Star 2023 Inverter Split AC,"₹38,890",--rating: 4.3;,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Panasonic CS/CU-KZ24ZKYF 2 Ton 3 Star 2023 Inverter Split AC,"₹57,990",--rating: 4.75;,AC,"['Split AC', '2 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Hot And Cold', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Lloyd GLS18C2XWASS 1.5 Ton 2 Star Split AC,"₹58,722",--rating: 4.45;,AC,"['Split AC', '1.5 Ton Capacity', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons']"
Lloyd GLS09I3FWSEV 0.8 Ton 3 Star 2022 Inverter Split AC,"₹52,997",--rating: 4.45;,AC,"['Split AC', '0.8 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Godrej WFC 18UTC3-WWA 1.5 Ton 3 Star 2022 Window AC,"₹34,191",--rating: 4;,AC,"['Window AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', '3 Star Rating']"
Lloyd GLS12C2XWASD 1 Ton 2 Star Split AC,"₹47,287",--rating: 4.25;,AC,"['Split AC', '1 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons']"
Daikin FTKL35UV16W 1 Ton 3 Star 2022 Inverter Split AC,"₹32,990",--rating: 4.3;,AC,"['Split AC', '1 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', '3 Star Rating']"
Voltas 125V Vectra Elite 1 Ton 5 Star 2022 Inverter Split AC,"₹50,818",--rating: 4.55;,AC,"['Split AC', '1 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons']"
Lloyd GLS12C3XWADS 1 Ton 3 Star 2022 Split AC,"₹30,852",--rating: 4.15;,AC,"['Split AC', '1 Ton Capacity', 'Hidden LED Display Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Voltas 183V Vectra Platina 1.5 Ton 3 Star 2022 Inverter Split AC,"₹35,900",--rating: 4.35;,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons']"
Lloyd GLS24I3FWSEV 2 Ton 3 Star 2022 Inverter Split AC,"₹73,766",--rating: 4.55;,AC,"['Split AC', '2 Ton Capacity', 'Hidden LED Display Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Lloyd GLW18C3YWSEW 1.5 Ton 3 Star Window AC,"₹31,190",--rating: 4.6;,AC,"['Window AC', '1.5 Ton Capacity', 'LED Display Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Samsung AR24CY3ZAGD 2 Ton 3 Star 2023 Inverter Split AC,"₹48,991",--rating: 4.2;,AC,"['Split AC', '2 Ton Capacity', 'LED  Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Hitachi RASB312PCAIBA 1 Ton 3 Star 2022 Split AC,"₹32,200",--rating: 4.15;,AC,"['Split AC', '1 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Dust Filter', '3 Star Rating', 'Copper  Coil Condenser Coil', 'Remote Control', 'Timer']"
Samsung AR18CYLZABE 1.5 Ton 3 Star 2023 Inverter Split AC,"₹34,990",--rating: 4.2;,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Blue Star FA318DNU 1.5 Ton 3 Star 2022 Split AC,"₹36,990",--rating: 4.1;,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', '3 Star Rating']"
Godrej EI 12TINV5R32-GWA 1 Ton 5 Star 2023 Inverter Split AC,"₹37,500",--rating: 4.25;,AC,"['Split AC', '1 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons']"
